TXN_ID,ACCOUNT_NO,VALUE_DT,AMT,CUR,CPTY_NAME,DESC
MLH-GL-2026-014201,MLH-BANK-GBP-0011,2026-09-01,-1500.00,GBP,Westmarch Insurance plc,Run-off admin premium Sep
MLH-GL-2026-014202,MLH-BANK-GBP-0011,2026-09-01,-425.00,GBP,Brightwater Utilities Ltd,Archive storage power
MLH-GL-2026-014203,MLH-BANK-GBP-0011,2026-09-01,-2200.00,GBP,Oakhurst Property Fund,Archive unit rent Sep
MLH-GL-2026-014204,MLH-BANK-GBP-0011,2026-09-01,18750.00,GBP,Ashgrove Pension Trustees,Reinsurance recovery claim 7714
MLH-GL-2026-014205,MLH-BANK-GBP-0011,2026-09-01,-6400.00,GBP,Tamsin Row Capital LLP,Actuarial review fee
MLH-GL-2026-014206,MLH-BANK-USD-0012,2026-09-01,-11250.00,USD,Ironbridge Commodities SA,Claim settlement IC-0455
MLH-GL-2026-014207,MLH-BANK-USD-0012,2026-09-01,3300.00,USD,Sable & Rook Holdings,Salvage recovery
MLH-GL-2026-014208,MLH-BANK-EUR-0013,2026-09-01,-980.50,EUR,Quillon Pharma BV,Claim expense QP-0033
MLH-GL-2026-014209,MLH-BANK-EUR-0013,2026-09-01,7200.00,EUR,Nordlicht Shipping GmbH,Subrogation receipt NS-118
MLH-GL-2026-014210,MLH-BANK-GBP-0011,2026-09-01,-75.00,GBP,Meridian Legacy Holdings,Bank charges Aug
MLH-GL-2026-014211,MLH-BANK-GBP-0011,2026-09-01,1210.42,GBP,Meridian Legacy Holdings,Deposit interest Aug
MLH-GL-2026-014212,MLH-BANK-USD-0012,2026-09-01,-5000.00,USD,Corvid Analytics GmbH,Claims data migration fee
MLH-GL-2026-014213,MLH-BANK-GBP-0011,2026-09-01,-3125.00,GBP,Kettleby Foods plc,Claim settlement KF-0912
MLH-GL-2026-014214,MLH-BANK-EUR-0013,2026-09-01,-1600.00,EUR,Larkspur Retail Group,Claim settlement LR-0201
