DealNo|Account|SettlementDate|Amount|Ccy|Counterparty|Notes
BHF-2026-09-0451-A|BHF-NOSTRO-GBP-01|20260901|-2500000.00|GBP|Halvorsen Maritime AS|GBPUSD spot sell GBP 2.5m
BHF-2026-09-0451-B|BHF-NOSTRO-USD-02|20260901|3357500.00|USD|Halvorsen Maritime AS|GBPUSD spot buy USD @1.3430
BHF-2026-09-0452-A|BHF-NOSTRO-EUR-03|20260901|-1200000.00|EUR|Nordlicht Shipping GmbH|EURUSD spot sell EUR 1.2m
BHF-2026-09-0452-B|BHF-NOSTRO-USD-02|20260901|1309200.00|USD|Nordlicht Shipping GmbH|EURUSD spot buy USD @1.0910
BHF-2026-09-0453-A|BHF-NOSTRO-USD-02|20260902|-750000.00|USD|Ironbridge Commodities SA|USDCHF fwd 1M sell USD
BHF-2026-09-0453-B|BHF-NOSTRO-CHF-04|20260902|657750.00|CHF|Ironbridge Commodities SA|USDCHF fwd 1M buy CHF @0.8770
BHF-2026-09-0454-A|BHF-NOSTRO-EUR-03|20260902|-478490.00|EUR|Kettleby Foods plc|EURGBP spot sell EUR @0.8568
BHF-2026-09-0454-B|BHF-NOSTRO-GBP-01|20260902|410000.00|GBP|Kettleby Foods plc|EURGBP spot buy GBP
BHF-2026-09-0455-A|BHF-NOSTRO-JPY-05|20260903|-150000000|JPY|Sable & Rook Holdings|USDJPY spot sell JPY 150m
BHF-2026-09-0455-B|BHF-NOSTRO-USD-02|20260903|1021450.46|USD|Sable & Rook Holdings|USDJPY spot buy USD @146.85
BHF-2026-09-0456-A|BHF-NOSTRO-USD-02|20260903|-980000.00|USD|Vantage Grid Energy plc|Swap near leg sell USD
BHF-2026-09-0456-B|BHF-NOSTRO-GBP-01|20260903|729650.00|GBP|Vantage Grid Energy plc|Swap near leg buy GBP @1.3431
BHF-2026-09-0457-A|BHF-NOSTRO-GBP-01|20260904|-12750.00|GBP|Westmarch Insurance plc|Option premium GBPUSD put
BHF-2026-09-0457-B|BHF-NOSTRO-EUR-03|20260904|55000.00|EUR|Blue Harbour FX Brokerage|Brokerage rebate Aug 2026
TRAILER|14
